name cp-unconnected-plain cp-fc-unconnected-plain clique-unconnected-plain mcssize generator vertices
mcs10_r005_s35.A37 3600.000488 3571.692871 3600000 mcs10 rand 35
mcs10_r005_s35.A38 3600.000000 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A39 3160.767090 590.849915 3600000 mcs10 rand 35
mcs10_r005_s35.A40 3068.056641 677.722168 3600000 mcs10 rand 35
mcs10_r005_s35.A41 3600.000000 1918.772949 3600000 mcs10 rand 35
mcs10_r005_s35.A42 2024.155029 442.091400 3600000 mcs10 rand 35
mcs10_r005_s35.A43 3600.000000 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A44 3600.000244 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A45 3600.000244 823.195068 3600000 mcs10 rand 35
mcs10_r005_s35.A46 2343.598389 561.497253 3600000 mcs10 rand 35
mcs10_r005_s35.A47 3600.000000 3059.228271 3600000 mcs10 rand 35
mcs10_r005_s35.A48 2365.153320 508.041962 3600000 mcs10 rand 35
mcs10_r005_s35.A49 3600.000000 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A50 3283.821289 969.910217 3600000 mcs10 rand 35
mcs10_r005_s35.A51 3600.000000 2775.204346 3600000 mcs10 rand 35
mcs10_r005_s35.A52 843.742554 199.916351 3600000 mcs10 rand 35
mcs10_r005_s35.A53 3600.000244 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A54 3600.000000 1464.604980 3600000 mcs10 rand 35
mcs10_r005_s35.A55 1561.412842 389.884705 3600000 mcs10 rand 35
mcs10_r005_s35.A56 1913.351196 362.067169 3600000 mcs10 rand 35
mcs10_r005_s35.A57 3600.000000 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A58 3600.000000 796.760010 3600000 mcs10 rand 35
mcs10_r005_s35.A59 3600.000488 826.065918 3600000 mcs10 rand 35
mcs10_r005_s35.A60 3600.000732 1091.973633 3600000 mcs10 rand 35
mcs10_r005_s35.A61 3600.000000 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A62 3600.000732 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A63 3600.000000 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A64 783.742554 184.952164 3600000 mcs10 rand 35
mcs10_r005_s35.A65 1045.966919 158.259140 3600001 mcs10 rand 35
mcs10_r005_s35.A66 3600.000488 3412.593506 3600000 mcs10 rand 35
mcs10_r005_s35.A67 3600.000244 1135.957520 3600000 mcs10 rand 35
mcs10_r005_s35.A68 1325.420532 244.723953 3600000 mcs10 rand 35
